"warddiv","n_apps","n_req","n_mailed","n_ret","n_reg","turnout_16"
"02-09",389.447620694628,389.447620694628,367.288059820479,280.867192906844,632,477
"02-10",391.649902885283,391.649902885283,380.363771532568,292.705602246188,628,506
"02-11",381.788086781603,381.788086781603,372.164136826045,289.578485064395,675,540
"02-12",449.587045148672,449.587045148672,432.858456897079,329.702960402025,701,541
"02-13",181.62418871652,181.62418871652,174.500166970741,130.53515426801,315,244
"02-14",404.28314346709,404.28314346709,391.68592232442,292.435700251536,694,540
"02-15",399.753030267048,399.753030267048,387.754784069725,286.979167111945,684,593.829891838741
"02-16",428.335728534619,428.335728534619,422.12455600809,338.680776050758,667,566.535496957403
"02-17",403.158174189346,403.158174189346,385.440979711616,299.051630663601,664,486
"02-18",338.234699821514,338.234699821514,324.784658258754,240.431095871433,568,467
"02-19",373.934284135095,373.934284135095,358.964960960347,272.406126901638,639,501
"02-20",316.173758964781,316.173758964781,304.932450079707,237.33405735301,505,349
"02-21",375.592955209102,375.592955209102,359.955033834273,270.37578950559,643,442
"02-22",536.045723398934,536.045723398934,515.202664019964,407.044728636562,833,620
"02-23",484.544172784821,484.544172784821,470.456484807794,372.455608592018,740,606
"02-24",425.969715124859,425.969715124859,410.754875330405,325.314318149293,685,558
"02-25",351.48465947097,351.48465947097,341.164051596867,250.807696189605,579,408.768361581921
"02-26",414.848670498039,414.848670498039,391.499925589054,266.771809729627,659,569.188685410659
